10           0           0           0           0           0           0           0           0           0           0           0           0 0.000898024    0.147392     1.06692     2.05186     2.24247     2.10598     1.79324     1.65077     1.46693     1.32652     1.25132     1.20964     1.11084     1.12589     1.10086     1.05937     1.07099     1.04885     1.06219     1.06898     1.06015     1.04072     1.03722     1.05339     1.03689     1.02887     1.03067     1.02263     1.01581     1.00486     1.00681     1.00876    0.999864    0.997709     1.00111    0.998796     1.00438     1.00457    0.980936    0.991329    0.986404    0.993059    0.998456    0.991448    0.987341    0.984128    0.992305    0.985703     0.98632      0.9905    0.989043    0.990388    0.984473    0.984548    0.995818    0.984706    0.984958    0.999096    0.986676    0.989135    0.993844    0.979498    0.996379    0.980209    0.982202    0.988656    0.985141    0.990245    0.980926    0.981139    0.986297    0.991702    0.990113    0.987617    0.989952    0.989386    0.990083    0.984557    0.989948    0.992529    0.989168    0.983446    0.990355    0.981389    0.991883    0.987675    0.983496
20           0           0           0           0           0           0           0           0           0           0           0           0  0.00209539    0.295821     2.13043     4.11353     4.52698     4.21498     3.65307     3.28622     2.95204     2.66252     2.50807     2.43237     2.25694     2.22521     2.19732     2.15401      2.1522     2.12785     2.13192     2.13301     2.12944      2.1061     2.05868     2.10424     2.07677     2.06466     2.06156     2.05119      2.0422     2.02691     2.00883      2.0189     2.01412     2.00448     2.01248      1.9959     2.00357     2.00708     1.98393     1.98963     1.98928     1.99593     2.00334     1.99924      1.9815     1.97767     1.98708     1.98438     1.98212     1.99046     1.97786      1.9865     1.97641     1.97337     1.98392     1.97822     1.97501     1.98694     1.99163     1.98674      1.9811     1.97675     1.98906     1.96707     1.97555     1.97097     1.97248      1.9816     1.97042     1.96792     1.97672     1.97897     1.97451     1.97934     1.96771     1.97364     1.97132     1.97322      1.9798     1.98177     1.97429     1.96563     1.97746     1.96835     1.97678     1.96766     1.96521
30           0           0           0           0           0           0           0           0           0           0           0           0  0.00329275     0.43932     3.23437     6.21609      6.8368     6.34886     5.50932     4.92621     4.43585     3.97891     3.77006     3.60427     3.42234     3.33261     3.29637     3.25927     3.21472     3.19911     3.20247     3.18179      3.1965     3.16245     3.10768     3.15837     3.10415     3.10067     3.08545     3.07259     3.06231     3.03455     3.00546     3.03565     3.02416     3.02119     3.02233      2.9981     3.01124     3.01068     2.98133     2.98765     2.99138     2.99972     3.00153     2.98746     2.96366     2.97015     2.98004     2.97739     2.97909     2.97603     2.97078     2.98009     2.96067      2.9553      2.9705     2.96712     2.95995      2.9794     2.97796      2.9716     2.96159     2.96513     2.97318     2.95214     2.95679     2.95784     2.95518     2.96581      2.9508     2.94886      2.9605     2.96123     2.95102     2.96353     2.95043     2.95744     2.95095     2.95717     2.96456     2.96861     2.95851     2.94758     2.96418     2.95891     2.96236     2.95698     2.95013
40           0           0           0           0           0           0           0           0           0           0           0           0  0.00389144    0.593459     4.28698     8.25532     9.12417     8.45611     7.31303     6.55244     5.86818      5.3272     5.02939     4.77736     4.57061     4.43589     4.40149     4.32691     4.25152     4.24309     4.25982     4.23196     4.24653      4.1984     4.14351      4.2136     4.14612     4.13304     4.09583     4.09748     4.06991     4.05258     4.02035     4.04802     4.02983     4.03334     4.02711     4.00442     4.01025     4.01613     3.97404     3.97644     3.98326     3.98942     3.99751     3.98092     3.96207     3.96045       3.985     3.96184       3.966     3.95832     3.96382     3.96168     3.94969     3.93998     3.95384     3.95939     3.94876     3.96539     3.96194      3.9513     3.94357     3.95198     3.95933     3.93308     3.94862     3.94203     3.94256     3.95114     3.93394     3.92386     3.94809     3.94515     3.93607     3.94593     3.93501     3.93751     3.93665     3.94367     3.94544     3.95529     3.94261      3.9341     3.94742     3.94002     3.95037     3.94231     3.94085
50           0           0           0           0           0           0           0           0           0           0           0           0  0.00419078    0.754604     5.34118     10.3529     11.3807     10.5449     9.16167     8.13582     7.34644     6.62224      6.2558     6.00027      5.7235     5.56754      5.4947     5.40542      5.3385     5.30995     5.33482     5.30436     5.31164     5.26149     5.17042     5.25405     5.17598     5.16338      5.1291     5.11925     5.07336     5.07248      5.0344     5.04999     5.03483      5.0392     5.03718      5.0044     5.01191     5.01748     4.97892     4.97302     4.97113     4.98668     4.99102     4.97432     4.96444     4.95453     4.97353      4.9532     4.95923     4.95623     4.94851     4.95348     4.93854     4.92681     4.94106     4.95012     4.94999     4.95542     4.94979      4.9434     4.93422     4.94766     4.94354     4.92087     4.94282     4.93108     4.92899     4.93554     4.91673     4.91136     4.93899     4.93396     4.92346     4.93396     4.92172     4.92461      4.9205      4.9304     4.93158     4.93836       4.927     4.92159     4.93063     4.92303     4.93494     4.91854     4.92114
60           0           0           0           0           0           0           0           0           0           0           0           0  0.00538814    0.898881     6.37971     12.4035     13.6221     12.6339     10.9909     9.78503     8.81054     7.93733     7.51523     7.17545     6.83754     6.65667     6.58964     6.47897      6.4189     6.35358     6.39129     6.36823     6.36956     6.30826     6.22639     6.28687     6.19176     6.19077     6.13969     6.13007     6.08093     6.06489     6.03304     6.05217       6.031     6.03555     6.03507     6.00298     6.01117     6.00932     5.96906     5.96803     5.95324     5.97456     5.98762     5.96031     5.95247     5.93587     5.96218     5.93337     5.95479     5.93594     5.93353      5.9324       5.933     5.91155     5.92478     5.92637     5.92781     5.94055     5.93544     5.91922     5.91765     5.93402     5.92743     5.89746     5.92952     5.91692     5.90768     5.92064     5.90188     5.89585     5.92292     5.91899     5.90659     5.92069     5.90692     5.90798     5.90876     5.91581     5.92085     5.92745     5.91173     5.90791     5.91613     5.91225     5.91983     5.90403     5.90262
70           0           0           0           0           0           0           0           0           0           0           0           0  0.00598682     1.03641      7.4916     14.4832     15.8781     14.7163     12.7786     11.3856     10.3051     9.27775     8.76299     8.37582     8.00134     7.76128     7.69713     7.54358     7.50142     7.41721     7.45733     7.40957     7.42825     7.34462     7.27184     7.31741     7.22438     7.22332     7.15078     7.14472     7.09255     7.08293     7.04669     7.06211     7.03986     7.03248     7.02201     7.00804     7.01989     7.00896     6.95637     6.96906     6.94464     6.95705     6.98494     6.94923     6.93644     6.92038     6.95756     6.93362     6.93858     6.92545     6.92249     6.92819     6.92529     6.89545     6.91806     6.90533     6.91653     6.92497     6.92351     6.90842     6.90763     6.91941     6.90942     6.87658     6.92108     6.90644     6.89745     6.90574     6.89055     6.88176     6.91319     6.90691     6.89217     6.91611     6.89246     6.89258     6.89561     6.89856     6.90232     6.91457     6.89332     6.89524     6.90428     6.89263     6.90321     6.88638     6.88502
80           0           0           0           0           0           0           0           0           0           0           0           0  0.00808221     1.18199     8.55443     16.5235     18.2236     16.8209     14.6279     13.0429     11.7445     10.6042     10.0393     9.56736     9.14726     8.89595     8.79294     8.64602     8.57711     8.47609     8.51419     8.45732     8.49185      8.3853     8.32638     8.36481     8.26557     8.25944     8.15991     8.16392     8.11258     8.11371     8.06256     8.07109     8.04418     8.05676     8.02823     8.00549     8.02422     8.01528     7.96474     7.96249     7.93587     7.95566     7.97792     7.94441     7.93583     7.91422      7.9483     7.92209     7.93372     7.92316     7.91333     7.92265     7.91797     7.89178     7.90931     7.89132     7.91111      7.9094     7.90697     7.89536     7.89628     7.90585     7.89541     7.86222     7.91225     7.89452      7.8835     7.89837     7.87641      7.8633     7.90091     7.89562     7.87762     7.90487     7.87716     7.87557     7.88161     7.88602     7.88772     7.89877     7.87703      7.8799     7.89069     7.87602     7.88939     7.87222     7.86975
90           0           0           0           0           0           0           0           0           0           0           0           0  0.00957892     1.33016     9.62498     18.5613       20.47     18.9756     16.4972     14.6894     13.2021     11.9694     11.2957     10.7454     10.3131     10.0233     9.85729     9.69921     9.65104     9.52852     9.57616     9.51705     9.54149     9.45861     9.36785     9.41665     9.29707     9.30834      9.2044     9.19072     9.13016     9.11555     9.06859     9.07591      9.0482     9.08034      9.0245     9.01965     9.01873     9.01846     8.95341     8.95881     8.92969     8.96303     8.97046      8.9382     8.92247     8.90441     8.92806     8.91326     8.91605     8.91116     8.90576     8.91408     8.91213     8.88768     8.89734      8.8854      8.9116     8.90539     8.89151      8.8753     8.87857        8.89     8.87614     8.85766     8.90172     8.88409     8.86982     8.88806     8.86013     8.84877     8.89418     8.87878     8.86451     8.88631      8.8646     8.86449     8.86785     8.86664     8.87784     8.88832     8.86317     8.86438     8.87519     8.85714     8.88155     8.85946     8.86076
100           0           0           0           0           0           0           0           0           0           0           0           0   0.0116743     1.46509     10.6751     20.5935     22.7304     21.0314     18.2994     16.3172     14.6256     13.2926     12.5379     11.9461     11.4473     11.1314     10.9506     10.7798     10.6996     10.5778     10.6394     10.5715     10.5936      10.507     10.4282     10.4369     10.3352       10.34     10.2236     10.2116     10.1302     10.1284     10.0847     10.0841     10.0472     10.0863     10.0255     10.0275     10.0101     10.0141     9.94478     9.95683     9.92691     9.96085     9.95949     9.93248     9.91478     9.88744     9.92872     9.89847     9.89649     9.90994     9.89693     9.90801     9.89776     9.88135     9.89146     9.87545     9.90328     9.88896     9.87388      9.8682     9.86878     9.87464     9.85721     9.84557     9.89067     9.87207     9.86068     9.88062     9.85408     9.82933     9.88306      9.8597     9.85618     9.87289     9.84976     9.85004     9.86046     9.85219     9.86451     9.87381     9.84579     9.84443     9.85913     9.83509     9.87071     9.84301     9.84761
